[Line 1  ] TYPE=MODULE             TEXT=module
[Line 1  ] TYPE=IDENTIFIER         TEXT=carry
[Line 1  ] TYPE=LPAREN             TEXT=(
[Line 1  ] TYPE=IDENTIFIER         TEXT=a
[Line 1  ] TYPE=COMMA              TEXT=,
[Line 1  ] TYPE=IDENTIFIER         TEXT=b
[Line 1  ] TYPE=COMMA              TEXT=,
[Line 1  ] TYPE=IDENTIFIER         TEXT=c
[Line 1  ] TYPE=COMMA              TEXT=,
[Line 1  ] TYPE=IDENTIFIER         TEXT=cout
[Line 1  ] TYPE=RPAREN             TEXT=)
[Line 1  ] TYPE=SEMICOLON          TEXT=;
[Line 2  ] TYPE=INPUT              TEXT=input
[Line 2  ] TYPE=IDENTIFIER         TEXT=a
[Line 2  ] TYPE=COMMA              TEXT=,
[Line 2  ] TYPE=IDENTIFIER         TEXT=b
[Line 2  ] TYPE=COMMA              TEXT=,
[Line 2  ] TYPE=IDENTIFIER         TEXT=c
[Line 2  ] TYPE=SEMICOLON          TEXT=;
[Line 3  ] TYPE=OUTPUT             TEXT=output
[Line 3  ] TYPE=IDENTIFIER         TEXT=cout
[Line 3  ] TYPE=SEMICOLON          TEXT=;
[Line 4  ] TYPE=WIRE               TEXT=wire
[Line 4  ] TYPE=IDENTIFIER         TEXT=x
[Line 4  ] TYPE=SEMICOLON          TEXT=;
[Line 5  ] TYPE=ASSIGN             TEXT=assign
[Line 5  ] TYPE=IDENTIFIER         TEXT=x
[Line 5  ] TYPE=ASSIGN_OP          TEXT==
[Line 5  ] TYPE=IDENTIFIER         TEXT=a
[Line 5  ] TYPE=AND                TEXT=&
[Line 5  ] TYPE=IDENTIFIER         TEXT=b
[Line 5  ] TYPE=SEMICOLON          TEXT=;
[Line 6  ] TYPE=ASSIGN             TEXT=assign
[Line 6  ] TYPE=IDENTIFIER         TEXT=cout
[Line 6  ] TYPE=ASSIGN_OP          TEXT==
[Line 6  ] TYPE=IDENTIFIER         TEXT=x
[Line 6  ] TYPE=OR                 TEXT=|
[Line 6  ] TYPE=IDENTIFIER         TEXT=c
[Line 6  ] TYPE=SEMICOLON          TEXT=;
[Line 7  ] TYPE=ENDMODULE          TEXT=endmodule
